Date,0
2016-01-04,98.43024713360657
2016-01-05,98.70410461616633
2016-01-06,97.36756518750802
2016-01-07,95.18161899268908
2016-01-08,94.1663590757617
2016-01-11,94.0939673520829
2016-01-12,94.67005372328275
2016-01-13,92.43785104129299
2016-01-14,93.60240264498412
2016-01-15,91.9749695865614
2016-01-19,91.98146710844041
2016-01-20,90.94662730866098
2016-01-21,91.28165059165228
2016-01-22,93.17546462344933
2016-01-25,91.71741097106657
2016-01-26,93.22359989805392
2016-01-27,92.46634516625653
2016-01-28,92.63978281698304
2016-01-29,95.19375367217681
2016-02-01,95.32719092070245
2016-02-02,93.51104514972384
2016-02-03,94.11094741143937
2016-02-04,94.52701550131096
2016-02-05,92.87980659371598
2016-02-08,91.15547369248895
2016-02-09,91.20662878391337
2016-02-10,91.44170700452953
2016-02-11,90.11049130870289
2016-02-12,91.8967477559813
2016-02-16,93.7034961617199
2016-02-17,95.09818348546344
2016-02-18,94.9279212879347
2016-02-19,94.99098434325997
2016-02-22,96.317062139332
2016-02-23,95.48158281946029
2016-02-24,95.98591130222131
2016-02-25,97.12482397004973
2016-02-26,97.07087174901841
2016-02-29,96.49308271223408
2016-03-01,98.58743607511481
2016-03-02,99.07027349082003
2016-03-03,99.67491628798946
2016-03-04,100.06471888519057
2016-03-07,100.32337734009542
2016-03-08,99.19175153141241
2016-03-09,99.58891873186386
2016-03-10,99.73875233434796
2016-03-11,101.52462143184246
2016-03-14,101.36964243641418
2016-03-15,100.98150338828482
2016-03-16,101.77038977853104
2016-03-17,102.72075644027865
2016-03-18,103.20976189494043
2016-03-21,103.13618368533677
2016-03-22,103.12255887349595
2016-03-23,102.38733474057173
2016-03-24,102.27570486811565
2016-03-28,102.4810330781904
2016-03-29,103.68910495171228
2016-03-30,104.01956575718152
2016-03-31,104.01372502047583
2016-04-01,104.64716374943464
2016-04-04,104.10220758980738
2016-04-05,103.0228713307767
2016-04-06,103.95934266890019
2016-04-07,102.82412788056206
2016-04-08,103.21264143853945
2016-04-11,102.96349990508521
2016-04-12,103.77151235274515
2016-04-13,104.90211529251545
2016-04-14,104.69025834057545
2016-04-15,104.83703011452488
2016-04-18,105.44110092513637
2016-04-19,105.75750881611687
2016-04-20,105.62041586783278
2016-04-21,104.86187825553412
2016-04-22,105.35866483733614
2016-04-25,105.13551642032697
2016-04-26,105.68951052036954
2016-04-27,106.23116269805084
2016-04-28,105.14649132495349
