,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Equal Weight,0.1634103727461027,0.18370272549811764,0.8895370077009398,-0.38155774311048174
Inverse Volatility,0.1481590052969468,0.17304149429241494,0.8562050732558958,-0.37511144917151595
Risk Parity,0.15691575454911022,0.18116751639600395,0.8661362570435466,-0.38155774311048174
S&P 500,0.12880516451743862,0.18131897612101594,0.7103788432572631,-0.3392496000265328
