Date,Equal Weight,Inverse Volatility,Risk Parity,S&P 500
2016-01-04,-0.015578508367957579,-0.015697528663934222,-0.015578508367957579,-0.015303731089594375
2016-01-05,0.002152145400603722,0.0027822492631562248,0.002152145400603722,0.0020122259542274534
2016-01-06,-0.015551668175491865,-0.013540869793163659,-0.015551668175491865,-0.013115396702646942
2016-01-07,-0.02405556872065938,-0.022450455555803533,-0.02405556872065938,-0.023700443014411654
2016-01-08,-0.01125472867122954,-0.01066655440064903,-0.01125472867122954,-0.010838374390218508
2016-01-11,-0.0021145604414331194,-0.0007687641785169121,-0.0021145604414331194,0.0008532721255336551
2016-01-12,0.006310741730065854,0.0061224580853757975,0.006310741730065854,0.00780279851675636
2016-01-13,-0.025725425792903447,-0.02357876217662664,-0.025725425792903447,-0.02496545230421965
2016-01-14,0.013626531116031947,0.012598211561310808,0.013626531116031947,0.016695905386662213
2016-01-15,-0.01851431941339683,-0.0173866590219407,-0.01851431941339683,-0.021599098001850003
2016-01-19,-0.0015616121613619646,7.0644458032632e-05,-0.0015616121613619646,0.0005318215543925753
2016-01-20,-0.010167945748441064,-0.011250525049349615,-0.010167945748441064,-0.011693855152413501
2016-01-21,0.004874738300851783,0.003683735097226554,0.004874738300851783,0.005195438361131455
2016-01-22,0.021496095223074288,0.020746930182814195,0.021496095223074288,0.020283701024494727
2016-01-25,-0.01702670239706366,-0.015648472033653958,-0.01702670239706366,-0.015637982053378963
2016-01-26,0.017298852467604216,0.016422061100945233,0.017298852467604216,0.014144335590226431
2016-01-27,-0.008958212747757358,-0.008122993883796562,-0.008958212747757358,-0.010863483795639506
2016-01-28,0.0013947972654403127,0.0018756840709411924,0.0013947972654403127,0.005528577205787588
2016-01-29,0.028613574720482628,0.027568834657561173,0.028613574720482628,0.0247602174153414
2016-02-01,0.0013638657200543886,0.0014017437424009465,0.0013638657200543886,-0.00044323658717015935
2016-02-02,-0.021214885252245245,-0.01905170763386243,-0.021214885252245245,-0.018743090830274922
2016-02-03,0.007349773946402615,0.00641530913011411,0.007349773946402615,0.004992038934619414
2016-02-04,0.005614177986784924,0.004421038160976274,0.005614177986784924,0.0015267325638141926
2016-02-05,-0.020014690833199053,-0.017425800432386694,-0.020014690833199053,-0.018481246310869337
2016-02-08,-0.021935868178193284,-0.018565207707309038,-0.021935868178193284,-0.014153935656373462
2016-02-09,-0.0007596640469266794,0.0005611850759174941,-0.0007596640469266794,-0.0006636203533073592
2016-02-10,0.0031089021011393774,0.0025774247305325967,0.0031089021011393774,-0.00018895027740828407
2016-02-11,-0.015153160007270372,-0.014558080108464024,-0.015153160007270372,-0.012301161792504733
2016-02-12,0.021027299590587824,0.01982295758613729,0.021027299590587824,0.019518049565855122
2016-02-16,0.022083748801690332,0.019660634895765194,0.022083748801690332,0.01651665412216241
2016-02-17,0.017421286899262624,0.014884047883725873,0.017421286899262624,0.01648043921048603
2016-02-18,-0.0024328908690035094,-0.0017903832785068237,-0.0024328908690035094,-0.004665713707027619
2016-02-19,0.00027148569506012027,0.0006643256743608566,0.00027148569506012027,-2.6032942938902792e-05
2016-02-22,0.015919265629101332,0.013960038473547112,0.015919265629101332,0.014454197186153817
2016-02-23,-0.010110420281462043,-0.008674260835147917,-0.010110420281462043,-0.012454371867771763
2016-02-24,0.00624720284236388,0.005281945144485453,0.00624720284236388,0.004439786812972857
2016-02-25,0.01167466637342071,0.011865414959102087,0.01167466637342071,0.011348275359951865
2016-02-26,0.0012758825176671675,-0.0005554936300112396,0.0012758825176671675,-0.0018701144822791393
2016-02-29,-0.0053343794318222795,-0.005952239084431359,-0.0053343794318222795,-0.008120976341902342
2016-03-01,0.02303444465179452,0.021704699487388117,0.02303444465179452,0.023868791801894718
2016-03-02,0.006116343293237559,0.004897555255796884,0.006116343293237559,0.004094308735004493
2016-03-03,0.0068616089406368635,0.006103170768227088,0.0068616089406368635,0.0034987406745825567
2016-03-04,0.004374091410838473,0.0039107391480005076,0.004374091410838473,0.0033058923144386743
2016-03-07,0.003823308031054305,0.0025849116230629065,0.003823308031054305,0.0008850141950174084
2016-03-08,-0.01462682946750102,-0.011279781828384905,-0.01462682946750102,-0.011240108649505087
2016-03-09,0.004540864334790129,0.004004034552466478,0.004540864334790129,0.0050523932937867055
2016-03-10,0.0009954612550589317,0.0015045208281408522,0.0009954612550589317,0.00015580493345068724
